disambiguation_id,alumni_id,candidate_id,name_score,affiliation_score,timeline_score,field_score,cross_validation_bonus,final_score,confidence_level,decision_label,review_flag,evaluated_at
DIS-00000001,ALM-2018-01-001,CAND-ALM-2018-01-001-01,0.77,0.67,0.97,0.74,0.08,0.86,Tinggi,Kemungkinan kuat,No,2023-10-07
DIS-00000002,ALM-2018-01-001,CAND-ALM-2018-01-001-02,0.96,0.23,0.84,0.63,0.03,0.7,Sedang,Perlu verifikasi,Yes,2023-04-10
DIS-00000003,ALM-2018-01-002,CAND-ALM-2018-01-002-01,0.97,0.83,0.89,0.76,0.03,0.91,Tinggi,Kemungkinan kuat,No,2024-01-12
DIS-00000004,ALM-2018-01-002,CAND-ALM-2018-01-002-02,0.9,0.79,0.69,0.8,0.0,0.81,Tinggi,Kemungkinan kuat,No,2022-08-28
DIS-00000005,ALM-2018-01-002,CAND-ALM-2018-01-002-03,0.97,0.72,0.81,0.46,0.0,0.79,Sedang,Perlu verifikasi,Yes,2024-10-20
DIS-00000006,ALM-2018-01-002,CAND-ALM-2018-01-002-04,0.86,0.21,0.44,0.63,0.05,0.6,Sedang,Perlu verifikasi,Yes,2023-09-17
DIS-00000007,ALM-2018-01-003,CAND-ALM-2018-01-003-01,0.91,0.66,1.0,0.6,0.05,0.86,Tinggi,Kemungkinan kuat,No,2024-11-10
DIS-00000008,ALM-2018-01-003,CAND-ALM-2018-01-003-02,0.76,0.91,0.64,0.91,0.08,0.88,Tinggi,Kemungkinan kuat,No,2026-03-28
DIS-00000009,ALM-2018-01-003,CAND-ALM-2018-01-003-03,0.84,0.43,0.61,0.53,0.05,0.67,Sedang,Perlu verifikasi,Yes,2023-07-11
DIS-00000010,ALM-2018-01-004,CAND-ALM-2018-01-004-01,0.87,0.68,0.6,0.77,0.08,0.82,Tinggi,Kemungkinan kuat,No,2026-04-20
DIS-00000011,ALM-2018-01-004,CAND-ALM-2018-01-004-02,0.88,0.67,0.57,0.46,0.0,0.69,Sedang,Perlu verifikasi,Yes,2024-01-02
DIS-00000012,ALM-2018-01-004,CAND-ALM-2018-01-004-03,0.84,0.93,0.88,0.88,0.05,0.93,Tinggi,Kemungkinan kuat,No,2025-11-27
DIS-00000013,ALM-2018-01-004,CAND-ALM-2018-01-004-04,0.94,0.85,0.74,0.65,0.03,0.86,Tinggi,Kemungkinan kuat,No,2023-07-21
DIS-00000014,ALM-2018-01-005,CAND-ALM-2018-01-005-01,0.82,0.66,0.96,0.37,0.03,0.76,Sedang,Perlu verifikasi,Yes,2024-04-28
DIS-00000015,ALM-2018-01-005,CAND-ALM-2018-01-005-02,0.72,0.72,0.59,0.7,0.0,0.69,Sedang,Perlu verifikasi,Yes,2022-09-15
DIS-00000016,ALM-2018-01-005,CAND-ALM-2018-01-005-03,0.94,0.65,0.68,0.41,0.05,0.77,Sedang,Perlu verifikasi,Yes,2023-07-03
DIS-00000017,ALM-2018-01-006,CAND-ALM-2018-01-006-01,0.75,0.66,0.92,0.39,0.08,0.78,Sedang,Perlu verifikasi,Yes,2022-06-24
